epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,48.0375,0.73479,0.59522,1.39121,0.901,0,0.9806,0.90275,0.93148,0.81229,0.9806,0.90275,0.93148,0.76994,0.513,0.74065,1.77466,0.7931,0,0.000364925,0.000364925,0.000364925
29,49.6799,0.59231,0.49268,1.07425,0.8794,0,0.9806,0.90275,0.93148,0.81229,0.9806,0.90275,0.93148,0.76994,0.513,0.74065,1.77466,0.7931,0,0.00034998,0.00034998,0.00034998
30,51.3197,0.84163,0.67431,1.26897,0.90554,0,0.97211,0.94643,0.9337,0.85451,0.97211,0.94643,0.9337,0.76185,0.44197,0.74408,1.47623,0.791,0,0.000333055,0.000333055,0.000333055
31,52.8282,0.62965,0.61631,0.92355,0.83269,0,0.97211,0.94643,0.9337,0.85451,0.97211,0.94643,0.9337,0.76185,0.44197,0.74408,1.47623,0.791,0,0.00031415,0.00031415,0.00031415
32,54.3078,0.63294,0.5839,0.80757,0.81798,0,0.97211,0.94643,0.9337,0.85451,0.97211,0.94643,0.9337,0.76185,0.44197,0.74408,1.47623,0.791,0,0.000293265,0.000293265,0.000293265
33,55.7777,0.59601,0.59102,1.03209,0.91029,0,0.97211,0.94643,0.9337,0.85451,0.97211,0.94643,0.9337,0.76185,0.44197,0.74408,1.47623,0.791,0,0.0002704,0.0002704,0.0002704
34,57.2528,0.61134,0.60754,0.83445,0.83752,0,0.97211,0.94643,0.9337,0.85451,0.97211,0.94643,0.9337,0.76185,0.44197,0.74408,1.47623,0.791,0,0.000245555,0.000245555,0.000245555
35,58.8097,0.52175,0.47846,0.91767,0.82103,0,0.97211,0.94643,0.9337,0.85451,0.97211,0.94643,0.9337,0.76185,0.44197,0.74408,1.47623,0.791,0,0.00021873,0.00021873,0.00021873
36,60.3413,0.55307,0.45274,1.12821,0.83315,0,0.97498,0.94643,0.93481,0.85908,0.97498,0.94643,0.93481,0.80162,0.40169,0.65747,1.20779,0.78405,0,0.000189925,0.000189925,0.000189925
37,61.8006,0.71619,0.5677,0.96555,0.89343,0,0.97498,0.94643,0.93481,0.85908,0.97498,0.94643,0.93481,0.80162,0.40169,0.65747,1.20779,0.78405,0,0.00015914,0.00015914,0.00015914
38,63.32,0.65796,0.65193,0.82506,0.83207,0,0.97498,0.94643,0.93481,0.85908,0.97498,0.94643,0.93481,0.80162,0.40169,0.65747,1.20779,0.78405,0,0.000126375,0.000126375,0.000126375
39,64.7604,0.84708,0.61852,0.9408,0.90825,0,0.97498,0.94643,0.93481,0.85908,0.97498,0.94643,0.93481,0.80162,0.40169,0.65747,1.20779,0.78405,0,9.163e-05,9.163e-05,9.163e-05
40,66.2725,0.46832,0.43817,0.90835,0.8319,0,0.97498,0.94643,0.93481,0.85908,0.97498,0.94643,0.93481,0.80162,0.40169,0.65747,1.20779,0.78405,0,5.4905e-05,5.4905e-05,5.4905e-05
